article,articleLabel,pleiadesID
http://www.wikidata.org/entity/Q153553,Germania Superior,1000
http://www.wikidata.org/entity/Q21556445,Thrakike,1001132
http://www.wikidata.org/entity/Q21467327,Asiane,1001134
http://www.wikidata.org/entity/Q21556446,Pontike,1001135
http://www.wikidata.org/entity/Q21556448,Anatolike,1001136
http://www.wikidata.org/entity/Q21556449,Aigyptiake,1001137
http://www.wikidata.org/entity/Q46,Europe,1001887
http://www.wikidata.org/entity/Q1491574,Thrace,1001889
http://www.wikidata.org/entity/Q21556450,Haimimontos,1001890
http://www.wikidata.org/entity/Q41,Greece,1001896
http://www.wikidata.org/entity/Q34374,Crete,1001897
http://www.wikidata.org/entity/Q3179417,Epirus vetus,1001898
http://www.wikidata.org/entity/Q21556451,Nea Epeiros,1001899
http://www.wikidata.org/entity/Q21556452,Dakia Mesogeios,1001900
http://www.wikidata.org/entity/Q1156891,Dacia Ripensis,1001901
http://www.wikidata.org/entity/Q21556453,Praibalis,1001903
http://www.wikidata.org/entity/Q170062,Pannonia,1001905
http://www.wikidata.org/entity/Q6514,Dardanelles,1001907
http://www.wikidata.org/entity/Q21556455,Phrygia Pakatiane,1001908
http://www.wikidata.org/entity/Q622598,Lycaonia,1001911
http://www.wikidata.org/entity/Q21556456,Phrygia Saloutaria,1001912
http://www.wikidata.org/entity/Q585250,Pamphylia,1001913
http://www.wikidata.org/entity/Q18927,Lycia,1001914
http://www.wikidata.org/entity/Q21556457,Nesoi,1001915
http://www.wikidata.org/entity/Q5897031,Honorias,1001918
http://www.wikidata.org/entity/Q26847,Galatia,1001920
http://www.wikidata.org/entity/Q3060427,Euphratensis,1001934
http://www.wikidata.org/entity/Q3983204,Temple of Fortuna Augusta,100249112
http://www.wikidata.org/entity/Q13924,Adriatic Sea,1004
http://www.wikidata.org/entity/Q1902995,Pons Neronianus,100447491
http://www.wikidata.org/entity/Q1301011,Q1301011,100593149
http://www.wikidata.org/entity/Q106599,Cimbri,101183
http://www.wikidata.org/entity/Q241194,Irminones,101199
http://www.wikidata.org/entity/Q1097118,Ingaevones,101202
http://www.wikidata.org/entity/Q371290,Istvaeones,101203
http://www.wikidata.org/entity/Q1125161,Nuithones,101210
http://www.wikidata.org/entity/Q509437,Silingi,101215
http://www.wikidata.org/entity/Q123433,Ostia Synagogue,101249987
http://www.wikidata.org/entity/Q16496954,Barragem Romana da Fonte Coberta,102500045
http://www.wikidata.org/entity/Q1945867,Monte Novo do Castelinho,102500046
http://www.wikidata.org/entity/Q28978106,Venusia amphitheatre,102529957
http://www.wikidata.org/entity/Q996179,Susegana Bridge,102937425
http://www.wikidata.org/entity/Q2552044,Sant'Omobono Area,103123065
http://www.wikidata.org/entity/Q199408,Alboran Sea DOESN'T EXIST,1033
http://www.wikidata.org/entity/Q7438847,Scratchbury Camp,103500678
http://www.wikidata.org/entity/Q12243758,Temple of Zeus,103565779
http://www.wikidata.org/entity/Q281330,Servian Wall,103808101
http://www.wikidata.org/entity/Q4918,Mediterranean Sea,1043
http://www.wikidata.org/entity/Q7361310,Rollright Stones,104590908
http://www.wikidata.org/entity/Q37495,Ionian Sea,1046
http://www.wikidata.org/entity/Q56633478,Cappuck Roman fort,104728999
http://www.wikidata.org/entity/Q244796,Achaean League,104777482
http://www.wikidata.org/entity/Q27070567,Casa della Nave Europa,104925762
http://www.wikidata.org/entity/Q145694,Italian Peninsula,1052
http://www.wikidata.org/entity/Q913582,Roman Italy,1052
http://www.wikidata.org/entity/Q370713,Tumulo di Montecalvario,107397415
http://www.wikidata.org/entity/Q18385210,Poseidon Temple of Isthmia,107524051
http://www.wikidata.org/entity/Q103138125,Aardenburg (Samian Ware Discovery Site),108722
http://www.wikidata.org/entity/Q322435,Ablis,108723
http://www.wikidata.org/entity/Q264401,Aduatuci,108728
http://www.wikidata.org/entity/Q103141030,Altrip (Samian Ware Discovery Site),108735
http://www.wikidata.org/entity/Q22876,Altlußheim,108737
http://www.wikidata.org/entity/Q1985712,Altrier,108738
http://www.wikidata.org/entity/Q103141174,Amay (Samian Ware Discovery Site),108739
http://www.wikidata.org/entity/Q223581,Ambiani,108740
http://www.wikidata.org/entity/Q610107,Castrum Antunnacum,108746
http://www.wikidata.org/entity/Q103145372,Baden-Baden (Samian Ware Discovery Site),108748
http://www.wikidata.org/entity/Q622977,Aquae Granni,108749
http://www.wikidata.org/entity/Q622981,Castrum Aquae Mattiacorum,108750
http://www.wikidata.org/entity/Q103200060,Wiesbaden (Samian Ware Discovery Site),108750
http://www.wikidata.org/entity/Q365,Cologne,108751
http://www.wikidata.org/entity/Q23048,Colonia Claudia Ara Agrippinensium,108751
http://www.wikidata.org/entity/Q623600,Ara Ubiorum,108751
http://www.wikidata.org/entity/Q103166403,Köln (Samian Ware Discovery Site),108751
http://www.wikidata.org/entity/Q262456,Ardres,108752
http://www.wikidata.org/entity/Q3078760,Forest of Ardenne,108753
http://www.wikidata.org/entity/Q2361353,Argentoratum,108754
http://www.wikidata.org/entity/Q103196931,Strasbourg (Samian Ware Discovery Site),108754
http://www.wikidata.org/entity/Q103148104,Biesheim (Samian Ware Discovery Site),108755
http://www.wikidata.org/entity/Q1009681,Arnières-sur-Iton,108757
http://www.wikidata.org/entity/Q706912,Artenay,108758
http://www.wikidata.org/entity/Q269401,Arcis-sur-Aube,108759
http://www.wikidata.org/entity/Q1735331,Castra of Arzbach,108760
http://www.wikidata.org/entity/Q723019,Castrum Asciburgium,108761
http://www.wikidata.org/entity/Q103183792,Moers-Asberg (Samian Ware Discovery Site),108761
http://www.wikidata.org/entity/Q103143675,Asse (Samian Ware Discovery Site),108762
http://www.wikidata.org/entity/Q190113,Tongeren,108765
http://www.wikidata.org/entity/Q103198066,Tongeren (Samian Ware Discovery Site),108765
http://www.wikidata.org/entity/Q21917,Audun-le-Tiche,108767
http://www.wikidata.org/entity/Q760408,Augers-en-Brie,108769
http://www.wikidata.org/entity/Q4820973,Augusta Suessionum,108772
http://www.wikidata.org/entity/Q940173,Augusta Viromanduorum,108774
http://www.wikidata.org/entity/Q17122336,Augustobona,108775
http://www.wikidata.org/entity/Q103198346,Troyes (Samian Ware Discovery Site),108775
http://www.wikidata.org/entity/Q103194995,Senlis (Samian Ware Discovery Site),108776
http://www.wikidata.org/entity/Q473100,Baâlon,108782
http://www.wikidata.org/entity/Q565257,Bad Bertrich,108783
http://www.wikidata.org/entity/Q22901,Bad Dürkheim,108784
http://www.wikidata.org/entity/Q522620,Bad Neuenahr-Ahrweiler,108786
http://www.wikidata.org/entity/Q103145980,Bavay (Samian Ware Discovery Site),108788
http://www.wikidata.org/entity/Q103161774,Famars (Samian Ware Discovery Site),108788
http://www.wikidata.org/entity/Q103164039,Houdain-lez-Bavay (Samian Ware Discovery Site),108788
http://www.wikidata.org/entity/Q1098808,Bailleul-sur-Thérain,108789
http://www.wikidata.org/entity/Q2753449,Basbellain,108791
http://www.wikidata.org/entity/Q1075287,Bazoches-les-Hautes,108794
http://www.wikidata.org/entity/Q243212,Beaumont-sur-Oise,108795
http://www.wikidata.org/entity/Q813798,Beda,108798
http://www.wikidata.org/entity/Q662284,Béhen,108800
http://www.wikidata.org/entity/Q636568,Belginum Archaeological Park,108802
http://www.wikidata.org/entity/Q581581,Bellovaci,108803
http://www.wikidata.org/entity/Q103146434,Bendorf (Samian Ware Discovery Site),108804
http://www.wikidata.org/entity/Q2897116,Bergilers,108806
http://www.wikidata.org/entity/Q1090551,Beuvraignes,108808
http://www.wikidata.org/entity/Q103148522,Bingen (Samian Ware Discovery Site),108809
http://www.wikidata.org/entity/Q2583396,Blariacum,108811
http://www.wikidata.org/entity/Q2075456,Bléharies,108812
http://www.wikidata.org/entity/Q884038,Blickweiler,108814
http://www.wikidata.org/entity/Q103148868,Blickweiler (Samian Ware Discovery Site),108814
http://www.wikidata.org/entity/Q2906575,Blicquy,108815
http://www.wikidata.org/entity/Q21694,Bliesbruck,108816
http://www.wikidata.org/entity/Q103148886,Bliesbruck (Samian Ware Discovery Site),108816
http://www.wikidata.org/entity/Q1735338,Castra Bodobrica,108817
http://www.wikidata.org/entity/Q103149089,Bonn (Samian Ware Discovery Site),108818
http://www.wikidata.org/entity/Q103187047,Neuss (Samian Ware Discovery Site),108818
http://www.wikidata.org/entity/Q103200260,Worms (Samian Ware Discovery Site),108820
http://www.wikidata.org/entity/Q21252,Bourgheim,108821
http://www.wikidata.org/entity/Q1074736,Bracquemont,108822
http://www.wikidata.org/entity/Q732495,Brienne-la-Vieille,108823
http://www.wikidata.org/entity/Q905683,Brisgavi,108825
http://www.wikidata.org/entity/Q201352,Pontoise,108827
http://www.wikidata.org/entity/Q21037319,Q21037319,108831
http://www.wikidata.org/entity/Q212541,Brunoy,108832
http://www.wikidata.org/entity/Q626918,Bû,108833
http://www.wikidata.org/entity/Q22940705,Gallo-Roman Sanctuary at Bû,108833
http://www.wikidata.org/entity/Q927722,Bucinobantes,108834
http://www.wikidata.org/entity/Q1015090,Castrum Burginatium,108837
http://www.wikidata.org/entity/Q103157996,Butzbach (Samian Ware Discovery Site),108839
http://www.wikidata.org/entity/Q2929045,Buzenol,108840
http://www.wikidata.org/entity/Q1025403,Caeroesi,108842
http://www.wikidata.org/entity/Q1025460,Caesaromagus,108844
http://www.wikidata.org/entity/Q103146131,Beauvais (Samian Ware Discovery Site),108844
http://www.wikidata.org/entity/Q1134698,Callengeville,108848
